,inicio,varinicio,varfim,pt_v,id,vir,inteiro,real,literal,leia,escreva,lit,num,rcb,opm,se,ab_p,fc_p,entao,opr,fimse,repita,fimrepita,fim,eof,P',P,V,LV,D,L,TIPO,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,R,CABR,CPR,A
17,e3,e3,e3,e3,e3,e3,e3,e3,e3,e3,e3,e3,e3,e3,e3,e3,s46,e3,e3,e3,e3,e3,e3,e3,e1,,,,,,,,,,,,,,,,,,,,
18,,,,,r3,,,,,r3,r3,,,,,r3,,,,,,r3,,r3,e1,,,,,,,,,,,,,,,,,,,,
19,,,s20,,,,s22,s23,s24,,,,,,,,,,,,,,,,e1,,,,47,19,,21,,,,,,,,,,,,,
20,,,,s48,,,,,,,,,,,,,,,,,,,,,e1,,,,,,,,,,,,,,,,,,,,
21,,,,,s50,,,,,,,,,,,,,,,,,,,,e1,,,,,,49,,,,,,,,,,,,,,
22,,,,,r9,,,,,,,,,,,,,,,,,,,,e1,,,,,,,,,,,,,,,,,,,,
23,,,,,r10,,,,,,,,,,,,,,,,,,,,e1,,,,,,,,,,,,,,,,,,,,
24,,,,,r11,,,,,,,,,,,,,,,,,,,,e1,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,r12,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,r24,,,,,,,,,,,,,,,,,,,,
